,count,mean,std,min,25%,50%,75%,max
s1,5545.0,440.56646728515625,69.91178894042969,170.0,405.0,460.0,490.0,547.0
s2,5545.0,369.13848876953125,66.89142608642578,175.0,327.0,374.0,428.0,478.0
s3,5545.0,411.2698059082031,72.11554718017578,164.0,373.0,432.0,463.0,528.0
s4,5545.0,370.88800048828125,72.93818664550781,155.0,324.0,380.0,431.0,493.0
s5,5545.0,349.4165954589844,71.96635437011719,154.0,305.0,356.0,411.0,477.0
s6,5545.0,398.39044189453125,72.08090209960938,154.0,349.0,417.0,454.0,525.0
s7,5545.0,339.6324768066406,68.62278747558594,150.0,290.0,355.0,394.0,457.0
s8,5545.0,392.6517639160156,79.95512390136719,135.0,343.0,412.0,457.0,529.0
x,5545.0,0.2750225365161896,8.54604721069336,-20.0,-10.0,0.0,10.0,20.0
y,5545.0,0.10459873825311661,8.562744140625,-20.0,-10.0,0.0,10.0,20.0
z,5545.0,4.4806132316589355,5.032437324523926,0.0,0.0,5.0,10.0,15.0
